GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
55,35-39,FEMALE,145.6
55,35-39,MALE,259.9
56,35-39,FEMALE,117.5
56,35-39,MALE,330.0
01,40-44,FEMALE,285.7
01,40-44,MALE,556.1
02,40-44,FEMALE,345.6
02,40-44,MALE,475.4
04,40-44,FEMALE,202.2
04,40-44,MALE,392.9
05,40-44,FEMALE,218.9
05,40-44,MALE,492.5
06,40-44,FEMALE,141.0
06,40-44,MALE,289.9
08,40-44,FEMALE,164.9
08,40-44,MALE,314.5
09,40-44,FEMALE,140.8
09,40-44,MALE,301.3
10,40-44,FEMALE,268.8
10,40-44,MALE,405.9
11,40-44,FEMALE,171.7
11,40-44,MALE,375.6
12,40-44,FEMALE,186.0
12,40-44,MALE,344.7
13,40-44,FEMALE,206.6
13,40-44,MALE,372.6
15,40-44,FEMALE,151.9
15,40-44,MALE,318.6
16,40-44,FEMALE,181.0
16,40-44,MALE,295.6
17,40-44,FEMALE,164.3
17,40-44,MALE,313.1
18,40-44,FEMALE,215.7
18,40-44,MALE,382.0
19,40-44,FEMALE,162.9
19,40-44,MALE,261.1
20,40-44,FEMALE,203.3
20,40-44,MALE,299.2
21,40-44,FEMALE,320.9
21,40-44,MALE,508.4
22,40-44,FEMALE,274.3
22,40-44,MALE,555.1
23,40-44,FEMALE,217.9
23,40-44,MALE,437.4
24,40-44,FEMALE,171.3
24,40-44,MALE,335.3
25,40-44,FEMALE,133.8
25,40-44,MALE,279.6
26,40-44,FEMALE,199.2
26,40-44,MALE,354.9
27,40-44,FEMALE,149.7
27,40-44,MALE,237.4
28,40-44,FEMALE,308.7
28,40-44,MALE,526.3
29,40-44,FEMALE,216.6
29,40-44,MALE,421.0
30,40-44,FEMALE,192.9
30,40-44,MALE,310.3
31,40-44,FEMALE,137.3
31,40-44,MALE,256.7
32,40-44,FEMALE,212.3
32,40-44,MALE,378.9
33,40-44,FEMALE,143.1
33,40-44,MALE,300.1
34,40-44,FEMALE,138.4
34,40-44,MALE,269.5
35,40-44,FEMALE,276.7
35,40-44,MALE,651.5
36,40-44,FEMALE,144.2
36,40-44,MALE,298.2
37,40-44,FEMALE,222.2
37,40-44,MALE,417.0
38,40-44,FEMALE,212.4
38,40-44,MALE,256.9
39,40-44,FEMALE,219.1
39,40-44,MALE,386.0
40,40-44,FEMALE,252.6
40,40-44,MALE,436.8
41,40-44,FEMALE,174.0
41,40-44,MALE,372.1
42,40-44,FEMALE,191.0
42,40-44,MALE,327.0
44,40-44,FEMALE,164.9
44,40-44,MALE,295.9
45,40-44,FEMALE,252.8
45,40-44,MALE,443.2
46,40-44,FEMALE,220.1
46,40-44,MALE,334.4
47,40-44,FEMALE,263.4
47,40-44,MALE,532.2
48,40-44,FEMALE,171.3
48,40-44,MALE,295.1
49,40-44,FEMALE,147.0
49,40-44,MALE,272.1
